Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
325,Richaun Holmes\holmeri01,C,28,SAC,45,37,23.9,4.4,6.7,.660,0.0,0.1,.400,4.4,6.6,.664,.663,1.6,2.0,.778,2.1,5.0,7.0,1.1,0.4,0.9,1.2,2.8,10.4
326,Rodney Hood\hoodro01,SF-SG,29,TOT,47,0,13.9,1.1,3.2,.356,0.6,1.9,.310,0.6,1.3,.419,.446,0.3,0.3,.875,0.3,1.2,1.6,0.7,0.3,0.1,0.2,0.6,3.1
327,Rodney Hood\hoodro01,SF,29,MIL,39,0,14.9,1.2,3.4,.351,0.6,2.1,.300,0.6,1.3,.431,.443,0.3,0.4,.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3
328,Rodney Hood\hoodro01,SG,29,LAC,8,0,8.9,0.9,2.3,.389,0.4,0.9,.429,0.5,1.4,.364,.472,0.1,0.3,.500,0.3,0.5,0.8,0.6,0.3,0.1,0.3,0.3,2.3
329,Scotty Hopson\hopsosc01,SG,32,OKC,1,0,18.0,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0
330,Al Horford\horfoal01,C,35,BOS,63,63,28.9,3.8,8.3,.451,1.2,3.9,.317,2.5,4.4,.568,.525,1.2,1.5,.837,1.5,6.0,7.5,3.3,0.7,1.3,1.0,1.9,10.0
331,Talen Horton-Tucker\hortota01,SG,21,LAL,52,16,25.5,3.6,8.7,.409,0.8,3.0,.268,2.8,5.7,.485,.456,1.5,1.9,.776,0.7,2.6,3.3,2.7,0.9,0.5,1.5,2.6,9.4
332,Danuel House Jr.\houseda01,SF,28,TOT,36,5,16.2,1.8,4.4,.409,1.0,2.5,.385,0.8,1.9,.441,.519,1.0,1.3,.778,0.4,2.2,2.6,1.1,0.4,0.4,0.7,1.1,5.6
333,Danuel House Jr.\houseda01,SF,28,HOU,16,1,14.6,1.6,4.6,.338,0.6,2.1,.294,0.9,2.5,.375,.405,1.1,1.2,.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8
334,Danuel House Jr.\houseda01,SF,28,NYK,1,0,3.0,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,Danuel House Jr.\houseda01,SF,28,UTA,19,4,18.2,2.1,4.4,.476,1.3,2.9,.446,0.8,1.5,.536,.625,0.9,1.4,.692,0.6,2.1,2.6,1.2,0.5,0.4,0.4,1.3,6.5
336,Dwight Howard\howardw01,C,36,LAL,51,18,14.9,1.9,3.1,.601,0.1,0.2,.667,1.7,2.9,.597,.620,1.3,2.1,.642,2.0,3.6,5.6,0.6,0.6,0.6,0.8,1.9,5.2
